month,day_of_month,hour,outdoor_temperature,outdoor_humidity,wind_speed,wind_direction,diffuse_solar_radiation,direct_solar_radiation,air_temperature,air_humidity,people_occupant,htg_setpoint,clg_setpoint,co2_emission,HVAC_electricity_demand_rate,total_electricity_HVAC
2.0,13.0,17.0,-3.7422664165496826,37.91875076293945,6.699999809265137,290.0,0.0,0.0,25.999195098876957,36.53422927856445,20.0,16.0,26.0,0.0,2133.528564453125,7688597.0
2.0,13.0,18.0,-4.108460426330566,41.641632080078125,6.199999809265137,280.0,0.0,0.0,23.24985694885254,40.81486511230469,10.0,21.0,23.25,0.0,1804.1546630859373,6649607.5
2.0,13.0,19.0,-3.780003070831299,42.48114013671875,7.199999809265137,270.0,0.0,0.0,22.79739761352539,38.231224060058594,2.0,20.0,23.25,0.0,1361.05224609375,4925297.5
2.0,13.0,20.0,-4.489407539367676,47.85951232910156,4.599999904632568,270.0,0.0,0.0,21.648475646972656,40.57486724853516,2.0,20.0,23.25,0.0,2764.376220703125,9872626.0
2.0,13.0,21.0,-4.434831619262695,50.938743591308594,6.699999809265137,270.0,0.0,0.0,20.832664489746094,39.643653869628906,0.0,16.0,26.0,0.0,1432.100341796875,5173325.5
2.0,13.0,22.0,-4.491180896759033,54.87594223022461,5.199999809265137,270.0,0.0,0.0,20.20022964477539,40.30990982055664,0.0,14.0,28.0,0.0,1423.652587890625,5146930.5
2.0,13.0,23.0,-4.471368312835693,40.67438888549805,6.199999809265137,270.0,0.0,0.0,19.62512969970703,40.23145294189453,0.0,19.0,23.25,0.0,7306.5654296875,27325986.0
2.0,14.0,0.0,-5.449187755584717,44.778316497802734,4.599999904632568,280.0,0.0,0.0,20.999942779541016,36.31972122192383,0.0,21.0,23.25,0.0,14451.4453125,53348956.0
2.0,14.0,1.0,-6.080310821533203,47.13811111450195,4.099999904632568,260.0,0.0,0.0,20.129064559936523,37.024295806884766,0.0,17.0,25.0,0.0,1704.16162109375,6139698.0
2.0,14.0,2.0,-5.679162979125977,46.73366165161133,3.5999999046325684,260.0,0.0,0.0,19.76327133178711,37.384952545166016,0.0,17.0,25.0,0.0,1693.4532470703125,6030985.0
2.0,14.0,3.0,-4.863536357879639,44.99211120605469,4.099999904632568,270.0,0.0,0.0,19.440004348754883,37.469383239746094,0.0,12.0,30.0,0.0,1626.9130859375,5713037.5
2.0,14.0,4.0,-5.246057033538818,45.50548553466797,4.099999904632568,270.0,0.0,0.0,19.12288475036621,37.67914962768555,0.0,12.0,30.0,0.0,1782.267333984375,6263212.0
2.0,14.0,5.0,-5.452826023101807,48.50566101074219,4.099999904632568,280.0,0.0,0.0,18.8345890045166,37.47589111328125,0.0,14.0,28.0,0.0,1911.9935302734373,6736014.0
2.0,14.0,6.0,-5.258655548095703,46.36182403564453,4.599999904632568,280.0,0.0,0.0,20.02206420898437,33.79240798950195,0.0,21.0,23.25,0.0,18951.369140625,68225792.0
2.0,14.0,7.0,-4.4783477783203125,44.38919448852539,3.5999999046325684,290.0,26.0,374.0,19.225078582763672,35.19601058959961,0.0,18.0,24.0,0.0,2184.400390625,7738924.5
