Actual (kWh),Predicted (kWh),Error (kWh)
125.6,122.590515,3.0094848632812443
125.3,124.058556,1.2414443969726534
126.4,125.351654,1.0483459472656307
125.7,126.46025,-0.7602508544921847
118.7,126.59492,-7.894917297363278
115.8,124.919426,-9.119425964355472
119.8,123.29204,-3.4920379638671903
130.7,123.46772,7.232279968261707
144.0,127.649666,16.35033416748047
144.0,133.59584,10.404159545898438
144.0,138.1987,5.801300048828125
144.0,138.80269,5.1973114013671875
142.7,138.98914,3.7108642578124886
133.3,137.62932,-4.329318237304676
121.4,130.23529,-8.835290527343744
128.6,121.31012,7.289880371093744
130.6,122.80506,7.794938659667963
127.2,124.77804,2.421961975097659
121.3,123.803,-2.5030014038085966
117.6,121.14981,-3.5498107910156307
112.6,119.21375,-6.613752746582037
110.7,117.941246,-7.241246032714841
108.6,115.61699,-7.016989135742193
108.3,114.2839,-5.983897399902347
107.1,112.953865,-5.853865051269537
108.0,111.09979,-3.09979248046875
108.3,111.29005,-2.990046691894534
112.1,110.86809,1.2319122314453068
111.5,112.33357,-0.8335723876953125
111.8,112.05035,-0.2503463745117216
111.5,111.95494,-0.4549407958984375
112.6,111.5709,1.029100036621088
112.1,111.39038,0.7096191406249943
111.8,111.26589,0.5341079711914034
111.0,111.76984,-0.76983642578125
111.2,110.75859,0.44140930175781534
111.0,110.861855,0.13814544677734375
109.8,110.65754,-0.8575393676757841
108.0,110.13718,-2.137176513671875
108.0,110.202194,-2.2021942138671875
107.8,111.13244,-3.3324386596679716
106.5,111.6522,-5.152198791503906
108.0,113.049805,-5.0498046875
111.0,115.05118,-4.051177978515625
121.8,118.70903,3.0909698486328097
120.4,129.95157,-9.55156860351562
123.2,128.14343,-4.943432617187497
126.6,127.713234,-1.113233947753912
129.9,128.00705,1.8929504394531307
133.4,128.36488,5.035116577148443
144.0,130.9773,13.022705078125
144.0,137.7367,6.2633056640625
143.7,139.36313,4.336871337890614
133.9,137.36424,-3.464242553710932
125.4,132.88705,-7.487054443359369
136.2,128.11858,8.081423950195301
144.0,130.65948,13.34051513671875
141.5,135.33453,6.16546630859375
128.8,137.09464,-8.294635009765614
125.4,131.54738,-6.147378540039057
122.6,129.33965,-6.739645385742193
128.3,128.0233,0.27669982910157387
124.0,127.64506,-3.6450576782226562
122.0,122.36791,-0.36791229248046875
113.2,120.23493,-7.034931945800778
110.2,117.3135,-7.113499450683591
107.8,115.1729,-7.37289733886719
108.7,114.292816,-5.592816162109372
105.0,114.89054,-9.890541076660156
105.5,113.90309,-8.403091430664062
105.0,112.6528,-7.652801513671875
104.3,111.240005,-6.940005493164065
103.6,109.43307,-5.833067321777349
107.3,108.79692,-1.4969207763671903
107.1,109.39309,-2.2930892944335994
105.5,108.4566,-2.9565963745117188
105.0,106.98643,-1.9864273071289062
104.9,105.208405,-0.3084045410156193
105.0,104.59472,0.40528106689453125
105.0,104.30996,0.6900405883789062
104.4,104.14216,0.25784149169922443
104.0,103.149025,0.8509750366210938
103.3,102.44204,0.8579605102539034
105.0,102.21908,2.7809219360351562
105.0,102.699295,2.3007049560546875
103.6,103.494026,0.10597381591796307
102.6,103.4288,-0.8288024902343807
105.2,103.84718,1.3528167724609403
106.0,106.62815,-0.6281509399414062
104.9,108.86524,-3.9652420043945256
105.9,108.01063,-2.1106277465820256
109.0,109.72861,-0.728607177734375
121.9,112.87421,9.025793457031256
122.1,126.92007,-4.820066833496099
125.7,127.76357,-2.063572692871091
130.5,128.86224,1.63775634765625
131.0,128.8043,2.1956939697265625
133.4,128.44835,4.951651000976568
132.5,128.02792,4.472076416015625
131.5,128.7685,2.73150634765625
132.5,128.88184,3.6181640625
130.9,129.21457,1.6854309082031307
128.1,128.71295,-0.6129516601562557
130.7,127.860916,2.839083862304676
143.6,129.30368,14.29631958007812
140.1,132.94008,7.159921264648432
140.9,133.5048,7.395193481445318
135.8,133.47963,2.320370483398449
134.4,132.81757,1.5824340820312557
128.0,132.72281,-4.722808837890625
119.7,129.03563,-9.335629272460935
129.1,122.96541,6.134591674804682
135.7,125.9665,9.733500671386707
130.6,126.63984,3.960160827636713
129.1,125.156586,3.9434143066406193
123.2,125.20295,-2.0029495239257784
115.2,122.78773,-7.587727355957028
114.0,119.446236,-5.446235656738281
112.4,117.54522,-5.145219421386713
112.7,115.89717,-3.1971710205078097
115.3,115.56066,-0.2606613159179716
117.4,116.209114,1.1908859252929744
116.1,116.63674,-0.5367416381835994
116.2,115.00359,1.196406555175784
114.8,114.23238,0.5676162719726534
115.2,113.20076,1.9992401123046903
114.0,112.47871,1.5212936401367188
113.1,111.90311,1.1968933105468693
108.8,111.5109,-2.710902404785159
108.1,109.67585,-1.575849914550787
109.4,108.94986,0.4501403808593807
105.9,108.336815,-2.436814880371088
102.0,106.46278,-4.4627838134765625
102.0,104.17244,-2.1724395751953125
101.5,103.503845,-2.00384521484375
102.0,102.22787,-0.22786712646484375
101.9,103.81093,-1.9109283447265568
102.1,104.00998,-1.9099792480468807
104.1,105.880135,-1.780134582519537
107.6,108.45143,-0.8514312744140682
119.2,114.2757,4.924296569824222
112.7,122.11931,-9.419308471679685
113.0,118.904816,-5.904815673828125
118.7,120.6011,-1.901097106933591
126.9,123.369415,3.5305847167968807
132.1,126.47406,5.625939941406244
132.6,128.33629,4.263711547851557
134.9,129.18149,5.718511962890631
130.3,130.60284,-0.30284423828123863
120.2,130.53612,-10.336117553710935
121.4,129.45709,-8.057092285156244
122.6,128.76273,-6.162725830078131
123.9,129.03278,-5.132775878906244
134.0,128.58,5.4199981689453125
135.0,129.6504,5.3495941162109375
138.2,130.139,8.060992431640614
144.1,130.2037,13.89629516601562
144.4,131.685,12.715002441406256
144.2,132.5106,11.689395141601551
139.9,132.85437,7.045629882812506
132.1,129.90321,2.196786499023432
138.3,126.818756,11.481243896484386
127.6,128.74722,-1.1472229003906307
119.2,124.73691,-5.536907958984372
109.8,119.95867,-10.158671569824222
109.7,115.06903,-5.369030761718747
111.2,112.67659,-1.4765899658203097
113.7,112.28108,1.4189178466796903
114.0,113.15258,0.8474197387695312
112.7,112.70693,-0.006932067871090908
111.9,111.13727,0.7627319335937557
114.0,110.92032,3.079681396484375
113.1,111.4039,1.6960998535156193
112.0,111.09141,0.9085922241210938
113.7,110.976036,2.723963928222659
114.0,112.07089,1.929107666015625
112.0,112.84562,-0.8456192016601562
111.0,112.004005,-1.0040054321289062
111.0,111.401794,-0.40179443359375
111.3,112.10408,-0.8040802001953153
111.0,112.13852,-1.138519287109375
110.7,111.21293,-0.5129287719726534
109.3,111.8817,-2.5816986083984403
108.0,110.49724,-2.4972381591796875
108.1,111.18626,-3.086256408691412
106.6,111.22915,-4.629148864746099
109.6,110.75704,-1.1570419311523494
111.0,113.08268,-2.0826797485351562
111.0,116.61375,-5.613746643066406
117.0,118.8441,-1.8441009521484375
124.5,121.38208,3.117919921875
127.0,123.653824,3.3461761474609375
127.3,123.49874,3.8012588500976534
126.1,123.629456,2.4705444335937443
123.5,124.27594,-0.77593994140625
124.4,124.22772,0.17227783203125568
122.1,124.119896,-2.0198959350585994
120.0,123.43915,-3.43914794921875
116.4,123.06976,-6.669763183593744
115.6,121.95758,-6.357580566406256
109.6,122.299,-12.699003601074224
108.9,120.44909,-11.549089050292963
115.1,119.44541,-4.345411682128912
119.2,120.13957,-0.9395721435546847
109.7,122.12954,-12.429539489746091
101.2,119.47357,-18.273571777343747
96.4,117.04825,-20.64824829101562
103.4,114.10851,-10.708512878417963
105.3,114.54444,-9.244441223144534
111.1,115.75797,-4.657972717285162
112.3,117.192116,-4.892115783691409
108.3,116.8514,-8.551402282714847
